coin,open_interest,funding_rate,oracle_price,mark_price,timestamp
POLYX,7050728.0,-2.34564e-05,0.0433,0.04322,2026-02-11T14:13:27.846317
GAS,267878.9999999999,9.4004e-06,1.584,1.5817,2026-02-11T14:13:27.846320
PENDLE,3561468.0,2.9033e-06,1.1521,1.1515,2026-02-11T14:13:27.846322
STG,0.0,0.0,0.15385,0.15387,2026-02-11T14:13:27.846324
FET,8248116.0,-2.32712e-05,0.1593,0.15916,2026-02-11T14:13:27.846327
STRAX,0.0,0.0,0.0416,1.5829,2026-02-11T14:13:27.846329
NEAR,5264514.599999997,1.25e-05,0.99635,0.99548,2026-02-11T14:13:27.846332
MEME,692821144.0,-7.37567e-05,0.000683,0.000681,2026-02-11T14:13:27.846334
ORDI,80837.66,-2.4691e-05,2.7323,2.7298,2026-02-11T14:13:27.846336
BADGER,0.0,0.0,0.88959,0.88823,2026-02-11T14:13:27.846340
NEO,129497.86,-8.88862e-05,2.727,2.7215,2026-02-11T14:13:27.846343
ZEN,138701.24,-1.09922e-05,5.9,5.8955,2026-02-11T14:13:27.846346
FIL,2176148.9999999995,1.1554e-06,0.903,0.90245,2026-02-11T14:13:27.846349
PYTH,26908604.0,1.25e-05,0.04443,0.044393,2026-02-11T14:13:27.846352
SUSHI,1492634.6000000003,-7.45545e-05,0.2106,0.21011,2026-02-11T14:13:27.846354
ILV,0.0,0.0,12.14,12.118,2026-02-11T14:13:27.846358
IMX,7842418.4,6e-08,0.15585,0.1557,2026-02-11T14:13:27.846361
kBONK,621357206.0,1.25e-05,0.006085,0.006082,2026-02-11T14:13:27.846363
GMT,32588014.0,1.25e-05,0.01203,0.012005,2026-02-11T14:13:27.846366
SUPER,3108128.0,-4.5937e-06,0.1226,0.12243,2026-02-11T14:13:27.846369
USTC,37139252.0,1.25e-05,0.004927,0.004917,2026-02-11T14:13:27.846372
NFTI,0.0,0.0,2518.4,6.5609,2026-02-11T14:13:27.846374
JUP,25654950.0,-9.9038e-06,0.14331,0.14315,2026-02-11T14:13:27.846377
kLUNC,10846948.0,-3.76641e-05,0.034245,0.034192,2026-02-11T14:13:27.846380
RSR,174882294.0,-4.34318e-05,0.001563,0.001561,2026-02-11T14:13:27.846382
GALA,156485130.0,1.25e-05,0.00405,0.004044,2026-02-11T14:13:27.846385
JTO,3946856.0,-4.46416e-05,0.2437,0.24335,2026-02-11T14:13:27.846389
NTRN,0.0,0.0,0.12385,0.1238,2026-02-11T14:13:27.846392
ACE,1699018.98,6.8901e-06,0.171,0.1707,2026-02-11T14:13:27.846394
MAV,10816004.0,1.25e-05,0.01644,0.016418,2026-02-11T14:13:27.846397
WIF,24613132.0,8.3708e-06,0.21855,0.21842,2026-02-11T14:13:27.846400
CAKE,750858.8,1.25e-05,1.3281,1.3275,2026-02-11T14:13:27.846402
PEOPLE,16103346.0,1.25e-05,0.006424,0.00642,2026-02-11T14:13:27.846405
ENS,90385.36,-2.88357e-05,5.78,5.7754,2026-02-11T14:13:27.846408
ETC,158347.2,1.20559e-05,8.43,8.4233,2026-02-11T14:13:27.846410
XAI,61036600.6,-9.86728e-05,0.01004,0.01001,2026-02-11T14:13:27.846413
MANTA,2781607.2,-0.0001010108,0.0712,0.07096,2026-02-11T14:13:27.846416
UMA,524275.4,-1.25007e-05,0.4899,0.48901,2026-02-11T14:13:27.846418
ONDO,12606224.0,7.7627e-06,0.2503,0.25012,2026-02-11T14:13:27.846421
ALT,50569068.0,-1.17548e-05,0.0083,0.008286,2026-02-11T14:13:27.846423
ZETA,11817077.800000003,-8.9067e-06,0.05096,0.05089,2026-02-11T14:13:27.846430
DYM,12182337.799999999,-1.74128e-05,0.0399,0.03981,2026-02-11T14:13:27.846433
MAVIA,35670246.6,1.25e-05,0.03618,0.03627,2026-02-11T14:13:27.846436
W,47066749.20000001,1.25e-05,0.01913,0.0191,2026-02-11T14:13:27.846439
PANDORA,0.0,0.0,1706.6,3026.3,2026-02-11T14:13:27.846441
STRK,61035084.199999996,-4.27919e-05,0.04745,0.04739,2026-02-11T14:13:27.846444
PIXEL,0.0,0.0,0.024025,0.024027,2026-02-11T14:13:27.846447
AI,0.0,0.0,0.1257,0.12555,2026-02-11T14:13:27.846449
TAO,42896.702,1.25e-05,153.3,153.23,2026-02-11T14:13:27.846452
AR,427825.46,1.25e-05,1.83,1.829,2026-02-11T14:13:27.846454
MYRO,0.0,0.0,0.015815,0.015813,2026-02-11T14:13:27.846457
kFLOKI,13741952.0,-2.14939e-05,0.02997,0.02994,2026-02-11T14:13:27.846459
BOME,449301716.0,1.25e-05,0.000393,0.000392,2026-02-11T14:13:27.846462
ETHFI,6845899.999999998,1.25e-05,0.4554,0.45513,2026-02-11T14:13:27.846465
ENA,128796090.0,1.25e-05,0.11605,0.11599,2026-02-11T14:13:27.846468
MNT,2897942.6000000006,1.25e-05,0.61645,0.6156,2026-02-11T14:13:27.846471
TNSR,3709813.0,1.25e-05,0.04367,0.0436,2026-02-11T14:13:27.846473
SAGA,19693020.599999998,1.12559e-05,0.0307,0.03067,2026-02-11T14:13:27.846477
MERL,10146872.0,1.25e-05,0.04911,0.049029,2026-02-11T14:13:27.846480
HBAR,33633266.0,1.25e-05,0.09074,0.090715,2026-02-11T14:13:27.846483
POPCAT,39687446.0,1.25e-05,0.050086,0.050046,2026-02-11T14:13:27.846486
OMNI,0.0,0.0,4.1948,4.1915,2026-02-11T14:13:27.846488
EIGEN,9960161.680000002,-1.34651e-05,0.2047,0.2044,2026-02-11T14:13:27.846496
REZ,65846068.0,1.25e-05,0.00293,0.002924,2026-02-11T14:13:27.846499
NOT,383148456.0,1.25e-05,0.000393,0.000392,2026-02-11T14:13:27.846502
TURBO,338018104.0,1.25e-05,0.00104,0.001038,2026-02-11T14:13:27.846505
BRETT,98733742.0,1.25e-05,0.007185,0.007183,2026-02-11T14:13:27.846508
IO,5421134.799999999,-5.60992e-05,0.10245,0.10232,2026-02-11T14:13:27.846511
ZK,90800892.0,1.25e-05,0.02224,0.022218,2026-02-11T14:13:27.846514
BLAST,1548094246.0,1.25e-05,0.00055,0.000548,2026-02-11T14:13:27.846517
LISTA,0.0,0.0,0.1247,0.12466,2026-02-11T14:13:27.846520
MEW,187132328.0,-2.30955e-05,0.000583,0.000581,2026-02-11T14:13:27.846526
RENDER,984021.2,1.25e-05,1.3095,1.3084,2026-02-11T14:13:27.846529
kDOGS,0.0,0.0,0.13675,0.13659,2026-02-11T14:13:27.846532
POL,23861000.0,1.25e-05,0.0922,0.0921,2026-02-11T14:13:27.846534
CATI,0.0,0.0,0.08275,0.082821,2026-02-11T14:13:27.846536
CELO,5862086.0,1.25e-05,0.0819,0.081875,2026-02-11T14:13:27.846539
HMSTR,12809122508.0,1.25e-05,0.000174,0.000177,2026-02-11T14:13:27.846542
SCR,4956219.0,-0.000139403,0.04857,0.04846,2026-02-11T14:13:27.846545
NEIROETH,0.0,0.0,0.017705,0.01808,2026-02-11T14:13:27.846547
kNEIRO,3636231.8000000003,1.0522e-05,0.07307,0.07303,2026-02-11T14:13:27.846550
GOAT,15716546.0,1.25e-05,0.022033,0.02201,2026-02-11T14:13:27.846554
MOODENG,19674430.0,1.25e-05,0.044405,0.044375,2026-02-11T14:13:27.846556
GRASS,3974833.3999999994,2.99e-08,0.18105,0.18073,2026-02-11T14:13:27.846560
PURR,45501620.0,1.25e-05,0.068709,0.069344,2026-02-11T14:13:27.846563
PNUT,11309642.8,-1.28242e-05,0.0463,0.04625,2026-02-11T14:13:27.846566
XLM,26910600.0,2.1347e-06,0.1571,0.15695,2026-02-11T14:13:27.846569
CHILLGUY,42138352.0,1.25e-05,0.009734,0.00973,2026-02-11T14:13:27.846572
SAND,5105180.0,1.25e-05,0.085665,0.085544,2026-02-11T14:13:27.846575
IOTA,4804154.0,1.25e-05,0.066735,0.066627,2026-02-11T14:13:27.846578
ALGO,9169274.0,1.25e-05,0.09235,0.092252,2026-02-11T14:13:27.846581
HYPE,24477549.739999983,1.25e-05,29.058,29.063,2026-02-11T14:13:27.846584
ME,1834736.0,-0.0001038516,0.137,0.13668,2026-02-11T14:13:27.846586
MOVE,21284822.0,1.25e-05,0.021795,0.02175,2026-02-11T14:13:27.846589
VIRTUAL,13041433.0,1.25e-05,0.5638,0.56351,2026-02-11T14:13:27.846591
PENGU,346041800.0,1.25e-05,0.006294,0.006289,2026-02-11T14:13:27.846595
USUAL,22383263.8,1.25e-05,0.01484,0.01481,2026-02-11T14:13:27.846598
FARTCOIN,159390017.59999993,1.25e-05,0.17936,0.17947,2026-02-11T14:13:27.846602
AI16Z,0.0,0.0,0.06153,0.06157,2026-02-11T14:13:27.846605
AIXBT,22486104.0,-1.98663e-05,0.019385,0.01935,2026-02-11T14:13:27.846609
ZEREBRO,88486836.0,1.25e-05,0.00792,0.007916,2026-02-11T14:13:27.846612
BIO,13512242.0,-9.4564e-06,0.025525,0.025513,2026-02-11T14:13:27.846615
GRIFFAIN,141920550.0,1.25e-05,0.008924,0.008927,2026-02-11T14:13:27.846618
SPX,8367711.199999999,-2.24017e-05,0.29635,0.29595,2026-02-11T14:13:27.846624
S,28953964.0,1.25e-05,0.0413,0.041252,2026-02-11T14:13:27.846627
MORPHO,2535483.9999999995,1.25e-05,1.126,1.1249,2026-02-11T14:13:27.846631
TRUMP,2089025.9999999998,-3.26473e-05,3.2345,3.2314,2026-02-11T14:13:27.846634
MELANIA,11004035.399999999,-1.09486e-05,0.11923,0.11909,2026-02-11T14:13:27.846637
ANIME,102481494.0,1.25e-05,0.005438,0.00543,2026-02-11T14:13:27.846640
VINE,25350366.0,1.25e-05,0.018075,0.018053,2026-02-11T14:13:27.846790
VVV,993972.62,-9.35007e-05,1.8466,1.8447,2026-02-11T14:13:27.846796
JELLY,0.0,0.0,0.03719,0.037555,2026-02-11T14:13:27.846799
BERA,9024919.400000002,-0.0008654818,0.52885,0.5252,2026-02-11T14:13:27.846802
TST,13924900.0,1.25e-05,0.00988,0.009876,2026-02-11T14:13:27.846805
LAYER,5170102.0,1.21544e-05,0.0822,0.08205,2026-02-11T14:13:27.846812
IP,4049230.3999999994,1.25e-05,1.149,1.1481,2026-02-11T14:13:27.846816
OM,20319926.6,1.25e-05,0.04442,0.04441,2026-02-11T14:13:27.846819
KAITO,5705098.0,1.25e-05,0.3093,0.3092,2026-02-11T14:13:27.846823
NIL,9440306.0,-0.0007846687,0.0568,0.056364,2026-02-11T14:13:27.846828
PAXG,18937.168,1.25e-05,5083.1,5080.8,2026-02-11T14:13:27.846832
PROMPT,40327892.0,1.25e-05,0.04764,0.047571,2026-02-11T14:13:27.846834
BABY,15421814.0,1.25e-05,0.013455,0.01344,2026-02-11T14:13:27.846837
WCT,10842938.0,-0.0005543205,0.06145,0.061122,2026-02-11T14:13:27.846842
HYPER,3410422.0,-3.70716e-05,0.096133,0.09585,2026-02-11T14:13:27.846845
ZORA,60149062.0,-0.0002639906,0.021289,0.0212,2026-02-11T14:13:27.846848
INIT,9606514.0,-0.0002746732,0.06962,0.069347,2026-02-11T14:13:27.846850
DOOD,106426740.0,1.25e-05,0.003579,0.003573,2026-02-11T14:13:27.846854
LAUNCHCOIN,0.0,0.0,0.06012,0.060367,2026-02-11T14:13:27.846857
NXPC,1559262.0,-0.0001298934,0.256,0.25539,2026-02-11T14:13:27.846860
SOPH,41336994.0,1.25e-05,0.009481,0.009455,2026-02-11T14:13:27.846863
RESOLV,98159592.0,1.25e-05,0.074178,0.074013,2026-02-11T14:13:27.846866
SYRUP,6227608.0,1.25e-05,0.2796,0.27954,2026-02-11T14:13:27.846869
PUMP,20821884084.0,1.25e-05,0.001913,0.001912,2026-02-11T14:13:27.846871
PROVE,1547716.0,1.25e-05,0.31655,0.31615,2026-02-11T14:13:27.846874
YZY,1826900.0,-0.0003629615,0.3338,0.33138,2026-02-11T14:13:27.846877
XPL,277341628.0,1.25e-05,0.083675,0.083658,2026-02-11T14:13:27.846883
WLFI,122535856.0,-0.0001566807,0.1029,0.10273,2026-02-11T14:13:27.846885
LINEA,342462048.0,-0.0003848844,0.003464,0.003444,2026-02-11T14:13:27.846890
SKY,32687168.0,1.25e-05,0.066405,0.06631,2026-02-11T14:13:27.846893
ASTER,71155236.0,-1.33321e-05,0.66415,0.66392,2026-02-11T14:13:27.846896
AVNT,6314996.0,-2.2087e-06,0.18695,0.18675,2026-02-11T14:13:27.846898
STBL,83641542.0,1.25e-05,0.045798,0.045841,2026-02-11T14:13:27.846900
0G,1361706.0,1.25e-05,0.5345,0.53395,2026-02-11T14:13:27.846903
HEMI,146149308.0,1.25e-05,0.01138,0.011369,2026-02-11T14:13:27.846905
APEX,2922318.0,1.25e-05,0.3024,0.30244,2026-02-11T14:13:27.846908
2Z,18415750.0,-1.51333e-05,0.07628,0.076074,2026-02-11T14:13:27.846910
ZEC,218069.3800000001,1.25e-05,231.12,231.1,2026-02-11T14:13:27.846913
MON,1323547798.0,1.25e-05,0.019124,0.0191,2026-02-11T14:13:27.846915
MET,11127040.0,1.25e-05,0.21125,0.21105,2026-02-11T14:13:27.846918
MEGA,31169084.0,1.25e-05,0.12661,0.12367,2026-02-11T14:13:27.846920
CC,37614776.0,1.25e-05,0.16568,0.16557,2026-02-11T14:13:27.846922
ICP,485846.5999999999,1.25e-05,2.41,2.4085,2026-02-11T14:13:27.846925
AERO,5445968.0,-0.0001418999,0.2897,0.28916,2026-02-11T14:13:27.846927
STABLE,99372206.0,-0.0001338634,0.02132,0.021261,2026-02-11T14:13:27.846929
FOGO,31637406.0,-1.7097e-06,0.02096,0.020932,2026-02-11T14:13:27.846932
LIT,29465584.0,1.25e-05,1.3985,1.3989,2026-02-11T14:13:27.846934
XMR,71532.074,1.25e-05,342.92,343.14,2026-02-11T14:13:27.846935
AXS,1850279.4000000004,-0.0015460918,1.51,1.4907,2026-02-11T14:13:27.846941
DASH,290141.82,-5.10841e-05,33.97,33.917,2026-02-11T14:13:27.846943
SKR,74024714.0,1.25e-05,0.025129,0.025118,2026-02-11T14:13:27.846946
