coin,fundingRate,premium,time,funding_zscore,liquidation_risk
BTC,-0.00228699,-0.0006829588,2026-01-20 10:00:00.046,-3.221947752600415,short_squeeze_risk
BTC,-0.00169612,-0.0006356899,2026-01-20 11:00:00.018,-2.568373568436826,short_squeeze_risk
BTC,-0.00208182,-0.000666546,2026-01-20 12:00:00.064,-2.99500474421474,short_squeeze_risk
BTC,-0.00181004,-0.0006448033,2026-01-20 13:00:00.054,-2.694382963159719,short_squeeze_risk
BTC,-0.00222034,-0.000677627,2026-01-20 14:00:00.109,-3.148224735059326,short_squeeze_risk
BTC,-0.00147775,-0.0006182198,2026-01-20 15:00:00.061,-2.3268297523760966,short_squeeze_risk
BTC,-0.00103666,-0.0005829329,2026-01-20 16:00:00.047,-1.838930490452632,normal
BTC,-0.00065326,-0.0005522609,2026-01-20 17:00:00.034,-1.4148433947999164,normal
BTC,0.00125,-0.0003806595,2026-01-20 18:00:00.037,0.6903939700200828,normal
BTC,0.00125,-0.0002894265,2026-01-20 19:00:00.028,0.6903939700200828,normal
BTC,0.00125,-0.0003306689,2026-01-20 20:00:00.020,0.6903939700200828,normal
BTC,0.00125,-0.0001602007,2026-01-20 21:00:00.025,0.6903939700200828,normal
BTC,0.00125,-0.000154274,2026-01-20 22:00:00.005,0.6903939700200828,normal
BTC,0.00125,-0.0001927422,2026-01-20 23:00:00.015,0.6903939700200828,normal
BTC,0.00125,-0.000233937,2026-01-21 00:00:00.063,0.6903939700200828,normal
BTC,0.00125,-0.0002633153,2026-01-21 01:00:00.039,0.6903939700200828,normal
BTC,0.00125,-0.0002989608,2026-01-21 02:00:00.038,0.6903939700200828,normal
BTC,0.00125,-0.0003593092,2026-01-21 03:00:00.143,0.6903939700200828,normal
BTC,0.00125,-0.0003668281,2026-01-21 04:00:00.034,0.6903939700200828,normal
BTC,0.00125,-0.0003771336,2026-01-21 05:00:00.057,0.6903939700200828,normal
BTC,0.00125,-0.0003259917,2026-01-21 06:00:00.014,0.6903939700200828,normal
BTC,0.00113914,-0.0004088687,2026-01-21 07:00:00.016,0.5677693079854974,normal
